Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: X196, MSE: 0.023431231590700777, Jaccard: 0.9976708770043895
Attribute: X197, MSE: 0.08596386930122764, Jaccard: 0.9957996009051432
Attribute: X198, MSE: 0.056923144739904424, Jaccard: 0.9954307909771777
Attribute: X199, MSE: 0.007049705451942777, Jaccard: 0.995452173543959
Attribute: X200, MSE: 0.017568865489664486, Jaccard: 0.9980141218005296
Attribute: X201, MSE: 0.371030284039487, Jaccard: 0.9955736293361149
Attribute: X202, MSE: 0.4114042510739567, Jaccard: 0.9958967533713315
Attribute: X203, MSE: 0.044859554842263116, Jaccard: 0.9979414710136865
Attribute: X204, MSE: 0.0005335961682019656, Jaccard: 0.9978253455165568
Attribute: X205, MSE: 0.0005717604232471283, Jaccard: 0.9977354118390562
Attribute: X206, MSE: 0.04992655639043354, Jaccard: 0.99789653784219
Attribute: X207, MSE: 0.0005940952259016005, Jaccard: 0.9978653966662488
Attribute: X208, MSE: 0.1470113786752057, Jaccard: 0.9954564560618884
Attribute: X209, MSE: 0.22213580232901298, Jaccard: 0.9958680935953331
Attribute: X210, MSE: 0.0005440689773335942, Jaccard: 0.9978374819579144
Attribute: X211, MSE: 0.03431409644542279, Jaccard: 0.9978883565738661
Attribute: X212, MSE: 0.01506341573976978, Jaccard: 0.9954386738509301
Attribute: X213, MSE: 0.004940211399506735, Jaccard: 0.9957794057794058
Attribute: X214, MSE: 0.016443373996560578, Jaccard: 0.9954441144375151
Attribute: X215, MSE: 0.2196139569246326, Jaccard: 0.9961071674631253
Attribute: X216, MSE: 0.01364874288091818, Jaccard: 0.9956532711075611
Attribute: X217, MSE: 0.019184021156375554, Jaccard: 0.9978625028424164
Attribute: X218, MSE: 0.6414847437931814, Jaccard: 0.9962522027155227
Attribute: X219, MSE: 0.14867948998421787, Jaccard: 0.9959243732805704
Attribute: X220, MSE: 0.5763905640488365, Jaccard: 0.9958873441680377
Attribute: X221, MSE: 0.020668470543421892, Jaccard: 0.9956780496131971
Attribute: X222, MSE: 0.05895296324425333, Jaccard: 0.9978872129614096
Attribute: X223, MSE: 0.6853003612228389, Jaccard: 0.9960116943904649
Attribute: X224, MSE: 0.508757511239899, Jaccard: 0.9956751313454892
Attribute: X225, MSE: 0.23207455211428116, Jaccard: 0.9958469786896988
Attribute: X226, MSE: 0.0864227550231283, Jaccard: 0.9959418379676698
Attribute: X227, MSE: 0.006441657756886774, Jaccard: 1.0
Attribute: X228, MSE: 0.085467936783606, Jaccard: 0.9958264991275089
Attribute: X229, MSE: 0.08453934904549336, Jaccard: 0.9978209065538466
Attribute: X230, MSE: 0.013354144027425567, Jaccard: 0.9960204870068803
Attribute: X231, MSE: 0.0381383624366231, Jaccard: 0.9954228145327622
Attribute: X232, MSE: 0.10848875771305003, Jaccard: 0.9957982344255476
Attribute: X233, MSE: 0.0, Jaccard: 0.0
Attribute: X234, MSE: 0.404000967806738, Jaccard: 0.9962574949968082
Attribute: X235, MSE: 0.0, Jaccard: 0.0
Attribute: X236, MSE: 0.0011547613637183454, Jaccard: 0.9979329854167682
Attribute: X237, MSE: 0.015320109955978586, Jaccard: 0.9956237968982675
Attribute: X238, MSE: 0.2154500970362505, Jaccard: 0.9959020054600425
Attribute: X239, MSE: 0.020407586720601487, Jaccard: 0.99640076429368
Attribute: X240, MSE: 0.006077773070393792, Jaccard: 0.9956852448575815
Attribute: X241, MSE: 0.23925326404189098, Jaccard: 0.9957306479049771
Attribute: X242, MSE: 0.021527297294792788, Jaccard: 0.996095019263798
