Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: 918, MSE: 0.009298234867511204, Jaccard: 0.4220907297830375
Attribute: 922, MSE: 0.01770983391697177, Jaccard: 0.4390715667311412
Attribute: 926, MSE: 0.021909233017272607, Jaccard: 0.4814814814814815
Attribute: 930, MSE: 0.02606410091528519, Jaccard: 0.43529411764705883
Attribute: 934, MSE: 0.023142184596233847, Jaccard: 0.4322200392927309
Attribute: 938, MSE: 0.014851757969651767, Jaccard: 0.403960396039604
Attribute: 942, MSE: 0.014506171157800889, Jaccard: 0.41535433070866146
Attribute: 946, MSE: 0.009991506371701757, Jaccard: 0.39165009940357853
Attribute: 950, MSE: 0.014494059835291308, Jaccard: 0.45297504798464494
Attribute: soil_moisture, MSE: nan, Jaccard: 0.0
加权混合距离: 0.19984855238941412
